Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (?),Revenue (?),Region
2024-01-01,AD004,Hackathon,YouTube,17–21 Age,285708,16956,4087,2547,1148,"? 2,75,458","? 46,15,838",West India
2024-01-02,AD004,Hackathon,YouTube,17–21 Age,140449,10082,1815,951,565,"? 1,33,026","? 35,13,170",North India
2024-01-03,AD004,Hackathon,YouTube,17–21 Age,140958,7474,1169,683,343,"? 1,35,766","? 10,51,925",North India
2024-01-04,AD004,Hackathon,YouTube,22–27 Age,257823,16841,3179,1584,698,"? 2,29,715","? 38,50,640",West India
2024-01-05,AD004,Hackathon,YouTube,25–35 Age,98595,7293,1340,854,368,"? 52,361","? 15,43,263",West India
2024-01-06,AD004,Hackathon,YouTube,22–27 Age,68114,5377,909,505,222,"? 27,454","? 17,17,164",North India
2024-01-07,AD004,Hackathon,YouTube,17–21 Age,175572,6855,1452,757,346,"? 95,498","? 25,98,808",East India
2024-01-08,AD004,Hackathon,YouTube,22–27 Age,231966,9373,1934,1247,553,"? 1,75,649","? 25,58,956",West India
2024-01-09,AD004,Hackathon,YouTube,17–21 Age,281339,12310,2329,1319,734,"? 1,26,724","? 42,65,725",West India
2024-01-10,AD004,Hackathon,YouTube,22–27 Age,98805,6952,1479,955,455,"? 49,446","? 30,12,430",North India
2024-01-11,AD004,Hackathon,YouTube,25–35 Age,144093,11451,1776,934,480,"? 1,04,177","? 17,23,114",North India
2024-01-12,AD004,Hackathon,YouTube,25–35 Age,158894,6588,1470,867,405,"? 1,02,314","? 30,80,880",Pan India
2024-01-13,AD004,Hackathon,YouTube,25–35 Age,66250,4921,871,392,210,"? 51,284","? 14,95,426",North India
2024-01-14,AD004,Hackathon,YouTube,25–35 Age,146445,6570,1466,803,436,"? 60,478","? 21,07,164",West India
2024-01-15,AD004,Hackathon,YouTube,22–27 Age,95097,7359,1754,1030,512,"? 47,008","? 21,74,798",South India
2024-01-16,AD004,Hackathon,YouTube,17–21 Age,234993,13461,2316,1322,778,"? 1,18,804","? 35,98,638",South India
2024-01-17,AD004,Hackathon,YouTube,25–35 Age,72601,4823,859,471,224,"? 65,232","? 15,40,858",West India
2024-01-18,AD004,Hackathon,YouTube,17–21 Age,64854,3268,774,379,187,"? 29,838","? 11,34,935",South India
2024-01-19,AD004,Hackathon,YouTube,25–35 Age,140767,7435,1316,748,419,"? 1,34,778","? 21,66,219",Pan India
2024-01-20,AD004,Hackathon,YouTube,22–27 Age,102564,4036,954,619,352,"? 51,435","? 27,39,138",West India
2024-01-21,AD004,Hackathon,YouTube,25–35 Age,99366,6149,1025,585,331,"? 39,929","? 20,41,494",East India
2024-01-22,AD004,Hackathon,YouTube,17–21 Age,130732,9877,1815,1127,550,"? 65,158","? 27,07,317",Pan India
2024-01-23,AD004,Hackathon,YouTube,22–27 Age,60282,3890,823,440,184,"? 50,618","? 13,32,251",East India
2024-01-24,AD004,Hackathon,YouTube,22–27 Age,227987,9955,2151,1233,739,"? 1,16,682","? 43,18,919",North India
2024-01-25,AD004,Hackathon,YouTube,22–27 Age,272168,16989,3561,1864,959,"? 1,66,206","? 44,49,883",West India
2024-01-26,AD004,Hackathon,YouTube,17–21 Age,264817,10684,1820,1080,558,"? 1,78,964","? 29,59,112",North India
2024-01-27,AD004,Hackathon,YouTube,22–27 Age,296970,16468,3817,2120,1220,"? 2,88,391","? 65,71,499",Pan India
2024-01-28,AD004,Hackathon,YouTube,25–35 Age,280154,13508,2070,1200,490,"? 2,58,351","? 26,06,825",West India
2024-01-29,AD004,Hackathon,YouTube,17–21 Age,246082,9319,1989,960,442,"? 1,95,337","? 21,70,311",East India
2024-01-30,AD004,Hackathon,YouTube,25–35 Age,162479,9378,2210,1154,604,"? 1,57,518","? 44,29,720",Pan India
2024-01-31,AD004,Hackathon,YouTube,22–27 Age,256182,17232,3397,1850,871,"? 2,12,839","? 35,79,678",South India
2024-02-01,AD004,Hackathon,YouTube,22–27 Age,269710,19961,3100,1479,780,"? 1,08,988","? 26,98,692",South India
2024-02-02,AD004,Hackathon,YouTube,17–21 Age,85354,4637,948,471,279,"? 39,467","? 10,69,478",Pan India
2024-02-03,AD004,Hackathon,YouTube,17–21 Age,96853,3046,699,327,162,"? 53,821","? 8,68,490",North India
2024-02-04,AD004,Hackathon,YouTube,17–21 Age,251547,15827,2989,1925,804,"? 1,23,903","? 58,51,415",West India
2024-02-05,AD004,Hackathon,YouTube,17–21 Age,189912,12514,2711,1616,890,"? 1,32,682","? 52,79,957",North India
2024-02-06,AD004,Hackathon,YouTube,25–35 Age,202653,7479,1790,1010,592,"? 93,099","? 31,72,504",West India
2024-02-07,AD004,Hackathon,YouTube,17–21 Age,72831,5085,1192,648,367,"? 65,890","? 28,06,227",West India
2024-02-08,AD004,Hackathon,YouTube,25–35 Age,215776,15117,2292,1195,520,"? 2,03,852","? 34,24,735",East India
2024-02-09,AD004,Hackathon,YouTube,17–21 Age,72443,3074,557,275,119,"? 67,538","? 3,64,638",South India
2024-02-10,AD004,Hackathon,YouTube,25–35 Age,155169,10534,1826,964,488,"? 65,549","? 20,07,650",South India
2024-02-11,AD004,Hackathon,YouTube,17–21 Age,145600,10817,2620,1253,628,"? 1,43,250","? 37,66,197",Pan India
2024-02-12,AD004,Hackathon,YouTube,22–27 Age,235449,17901,3572,1970,869,"? 1,56,170","? 37,79,197",East India
2024-02-13,AD004,Hackathon,YouTube,25–35 Age,92082,5873,1376,740,425,"? 72,925","? 27,47,864",North India
2024-02-14,AD004,Hackathon,YouTube,22–27 Age,69767,4894,1047,585,275,"? 47,792","? 21,45,764",Pan India
2024-02-15,AD004,Hackathon,YouTube,17–21 Age,131440,4550,1063,659,286,"? 1,19,991","? 19,90,224",East India
2024-02-16,AD004,Hackathon,YouTube,25–35 Age,281475,14540,2460,1239,519,"? 1,12,655","? 39,20,124",South India
2024-02-17,AD004,Hackathon,YouTube,17–21 Age,138904,6550,1548,797,435,"? 1,28,171","? 30,43,169",South India
2024-02-18,AD004,Hackathon,YouTube,25–35 Age,294254,13308,3157,1809,752,"? 2,51,733","? 41,43,707",Pan India
2024-02-19,AD004,Hackathon,YouTube,17–21 Age,176880,12551,2597,1551,905,"? 1,65,229","? 32,42,545",South India
2024-02-20,AD004,Hackathon,YouTube,25–35 Age,135158,10392,2062,977,480,"? 1,01,398","? 19,65,140",North India
2024-02-21,AD004,Hackathon,YouTube,22–27 Age,236532,17823,2773,1664,752,"? 2,09,088","? 24,47,522",Pan India
2024-02-22,AD004,Hackathon,YouTube,17–21 Age,279307,12903,2336,1311,548,"? 2,65,211","? 39,31,416",North India
2024-02-23,AD004,Hackathon,YouTube,17–21 Age,51984,2911,604,374,222,"? 27,008","? 17,29,749",South India
2024-02-24,AD004,Hackathon,YouTube,25–35 Age,103947,7149,1414,811,375,"? 55,024","? 16,23,226",South India
2024-02-25,AD004,Hackathon,YouTube,22–27 Age,61783,3786,675,431,230,"? 48,713","? 10,95,171",East India
2024-02-26,AD004,Hackathon,YouTube,25–35 Age,211522,8146,1649,828,347,"? 1,39,232","? 13,43,596",East India
2024-02-27,AD004,Hackathon,YouTube,22–27 Age,55880,1910,340,220,103,"? 40,730","? 4,86,884",South India
2024-02-28,AD004,Hackathon,YouTube,17–21 Age,167535,11504,2177,1304,556,"? 1,10,297","? 41,74,013",West India
2024-02-29,AD004,Hackathon,YouTube,25–35 Age,206944,15993,2610,1657,747,"? 1,70,089","? 27,04,688",West India
2024-03-01,AD001,UG Admission,Google Ads,17–21 Age,86043,5121,1032,663,383,"? 84,842","? 20,67,524",Pan India
2024-03-01,AD004,Hackathon,YouTube,22–27 Age,238624,16826,3034,1553,882,"? 1,21,440","? 55,23,180",East India
2024-03-02,AD001,UG Admission,Google Ads,17–21 Age,106383,8132,1989,1180,597,"? 68,121","? 41,67,141",South India
2024-03-02,AD004,Hackathon,YouTube,25–35 Age,137353,10177,1561,926,440,"? 62,507","? 23,00,982",Pan India
2024-03-03,AD001,UG Admission,Google Ads,17–21 Age,190183,9911,2343,1331,712,"? 1,70,515","? 26,33,312",North India
2024-03-03,AD004,Hackathon,YouTube,17–21 Age,248339,16962,3496,1806,789,"? 1,75,686","? 29,08,345",East India
2024-03-04,AD001,UG Admission,Google Ads,17–21 Age,151825,7293,1728,1114,497,"? 76,966","? 35,27,269",West India
2024-03-04,AD004,Hackathon,YouTube,17–21 Age,56983,2037,418,208,123,"? 53,252","? 7,37,803",Pan India
2024-03-05,AD001,UG Admission,Google Ads,17–21 Age,70110,3013,750,468,238,"? 52,948","? 18,92,178",South India
2024-03-05,AD004,Hackathon,YouTube,22–27 Age,161034,5095,881,462,224,"? 84,019","? 9,23,164",South India
2024-03-06,AD001,UG Admission,Google Ads,17–21 Age,127872,7698,1526,763,381,"? 1,16,041","? 23,03,108",Pan India
2024-03-06,AD004,Hackathon,YouTube,17–21 Age,207444,12055,2103,1256,542,"? 1,12,400","? 20,91,662",North India
2024-03-07,AD001,UG Admission,Google Ads,17–21 Age,125458,8435,1509,693,366,"? 66,260","? 23,98,363",West India
2024-03-07,AD004,Hackathon,YouTube,25–35 Age,125186,5438,1013,516,288,"? 70,257","? 16,55,474",East India
2024-03-08,AD001,UG Admission,Google Ads,17–21 Age,52749,3113,594,267,132,"? 47,097","? 6,44,766",West India
2024-03-08,AD004,Hackathon,YouTube,17–21 Age,153379,7139,1663,957,429,"? 1,02,014","? 14,63,625",South India
2024-03-09,AD001,UG Admission,Google Ads,17–21 Age,55614,3540,572,343,154,"? 36,079","? 6,46,247",North India
2024-03-09,AD004,Hackathon,YouTube,17–21 Age,123685,8520,2108,1010,406,"? 1,22,048","? 14,54,477",South India
2024-03-10,AD001,UG Admission,Google Ads,17–21 Age,160586,9019,1457,790,427,"? 1,18,320","? 25,36,805",North India
2024-03-10,AD004,Hackathon,YouTube,25–35 Age,226639,12635,2302,1218,650,"? 1,99,476","? 39,64,941",Pan India
2024-03-11,AD001,UG Admission,Google Ads,17–21 Age,73407,5606,883,498,256,"? 70,483","? 10,18,846",West India
2024-03-11,AD004,Hackathon,YouTube,22–27 Age,213309,8042,1913,1209,533,"? 1,64,270","? 40,63,881",North India
2024-03-12,AD001,UG Admission,Google Ads,17–21 Age,216597,15507,2335,1445,726,"? 1,92,462","? 23,05,973",North India
2024-03-12,AD004,Hackathon,YouTube,25–35 Age,226506,7970,1292,750,420,"? 1,75,995","? 20,66,587",Pan India
2024-03-13,AD001,UG Admission,Google Ads,17–21 Age,175194,5344,957,551,261,"? 1,69,204","? 9,76,767",West India
2024-03-13,AD004,Hackathon,YouTube,22–27 Age,185895,10159,1559,796,319,"? 1,52,447","? 22,03,004",East India
2024-03-14,AD001,UG Admission,Google Ads,17–21 Age,188495,10549,1800,1004,441,"? 1,82,807","? 22,68,459",West India
2024-03-14,AD004,Hackathon,YouTube,22–27 Age,61348,4749,863,560,278,"? 41,335","? 20,16,293",Pan India
2024-03-15,AD001,UG Admission,Google Ads,17–21 Age,100344,8008,1473,816,424,"? 77,930","? 13,44,335",East India
2024-03-15,AD004,Hackathon,YouTube,22–27 Age,194652,12957,2628,1452,793,"? 1,88,269","? 58,47,270",East India
2024-03-16,AD001,UG Admission,Google Ads,17–21 Age,275868,10436,1877,1023,453,"? 1,33,645","? 28,95,845",West India
2024-03-16,AD004,Hackathon,YouTube,22–27 Age,144241,6954,1273,706,292,"? 70,142","? 10,34,342",East India
2024-03-17,AD001,UG Admission,Google Ads,17–21 Age,292584,23331,3605,1899,921,"? 1,69,598","? 31,62,279",West India
2024-03-17,AD004,Hackathon,YouTube,25–35 Age,117460,8173,1756,887,365,"? 93,791","? 15,80,107",South India
2024-03-18,AD001,UG Admission,Google Ads,17–21 Age,160356,10619,2317,1167,687,"? 89,639","? 46,71,783",South India
2024-03-18,AD004,Hackathon,YouTube,17–21 Age,58163,3769,797,395,178,"? 25,555","? 12,93,768",North India
2024-03-19,AD001,UG Admission,Google Ads,17–21 Age,172256,8896,2048,985,576,"? 1,52,568","? 19,15,390",East India
2024-03-19,AD004,Hackathon,YouTube,17–21 Age,258133,14755,2438,1536,617,"? 1,03,656","? 45,24,609",South India
2024-03-20,AD001,UG Admission,Google Ads,17–21 Age,203648,8947,1995,1108,625,"? 1,26,624","? 37,38,990",South India
2024-03-20,AD004,Hackathon,YouTube,22–27 Age,219527,10693,1929,990,415,"? 2,03,424","? 21,19,680",South India
2024-03-21,AD001,UG Admission,Google Ads,17–21 Age,85480,4749,1166,617,295,"? 77,653","? 18,45,722",North India
2024-03-21,AD004,Hackathon,YouTube,17–21 Age,284030,14236,2183,1152,592,"? 2,62,334","? 26,63,780",North India
2024-03-22,AD001,UG Admission,Google Ads,17–21 Age,298776,13733,2795,1309,703,"? 2,12,230","? 53,50,896",West India
2024-03-22,AD004,Hackathon,YouTube,22–27 Age,64434,3679,729,397,235,"? 59,042","? 12,42,049",Pan India
2024-03-23,AD001,UG Admission,Google Ads,17–21 Age,245366,12959,2802,1515,836,"? 2,41,060","? 60,91,994",North India
2024-03-23,AD004,Hackathon,YouTube,25–35 Age,53724,1683,344,159,73,"? 49,801","? 5,13,710",South India
2024-03-24,AD001,UG Admission,Google Ads,17–21 Age,240769,8468,1835,987,400,"? 1,45,335","? 29,21,642",South India
2024-03-24,AD004,Hackathon,YouTube,17–21 Age,79876,4171,757,434,226,"? 75,946","? 16,60,036",North India
2024-03-25,AD001,UG Admission,Google Ads,17–21 Age,122186,5865,1463,777,313,"? 54,950","? 11,00,080",South India
2024-03-25,AD004,Hackathon,YouTube,17–21 Age,199247,9891,2264,1217,616,"? 1,05,185","? 47,85,145",East India
2024-03-26,AD001,UG Admission,Google Ads,17–21 Age,274044,13557,2893,1644,828,"? 1,31,708","? 61,73,760",North India
2024-03-26,AD004,Hackathon,YouTube,22–27 Age,244500,9131,2098,1346,655,"? 1,46,176","? 34,64,552",East India
2024-03-27,AD001,UG Admission,Google Ads,17–21 Age,75569,3044,699,363,210,"? 43,169","? 9,54,212",Pan India
2024-03-27,AD004,Hackathon,YouTube,17–21 Age,62090,3649,636,301,174,"? 58,687","? 5,69,195",South India
2024-03-28,AD001,UG Admission,Google Ads,17–21 Age,151614,5544,1000,552,221,"? 66,294","? 8,38,838",South India
2024-03-28,AD004,Hackathon,YouTube,17–21 Age,275576,19381,2993,1920,883,"? 1,52,034","? 28,50,576",Pan India
2024-03-29,AD001,UG Admission,Google Ads,17–21 Age,128767,7454,1142,540,253,"? 99,239","? 9,60,812",West India
2024-03-29,AD004,Hackathon,YouTube,25–35 Age,94022,2854,695,411,192,"? 58,117","? 13,23,998",North India
2024-03-30,AD001,UG Admission,Google Ads,17–21 Age,168427,7496,1354,707,399,"? 1,21,005","? 27,80,010",North India
2024-03-30,AD004,Hackathon,YouTube,17–21 Age,153437,5657,1049,519,211,"? 1,47,977","? 11,61,334",East India
2024-03-31,AD001,UG Admission,Google Ads,17–21 Age,80636,5687,1072,607,344,"? 59,285","? 22,88,813",East India
2024-03-31,AD004,Hackathon,YouTube,25–35 Age,158630,4927,822,475,264,"? 1,41,499","? 11,40,876",East India
2024-04-01,AD001,UG Admission,Google Ads,17–21 Age,186499,6536,1354,621,368,"? 85,229","? 26,37,714",West India
2024-04-02,AD001,UG Admission,Google Ads,17–21 Age,280440,19647,3222,1784,885,"? 2,54,339","? 42,46,093",North India
2024-04-03,AD001,UG Admission,Google Ads,17–21 Age,79911,2837,458,283,153,"? 34,959","? 5,84,663",South India
2024-04-04,AD001,UG Admission,Google Ads,17–21 Age,274653,14146,2816,1386,561,"? 2,08,104","? 38,92,838",West India
2024-04-05,AD001,UG Admission,Google Ads,17–21 Age,165340,10645,1684,807,389,"? 1,29,203","? 30,18,743",West India
2024-04-06,AD001,UG Admission,Google Ads,17–21 Age,282778,15067,2772,1717,949,"? 2,19,848","? 51,56,799",West India
2024-04-07,AD001,UG Admission,Google Ads,17–21 Age,285987,22561,5121,2466,1091,"? 1,46,348","? 38,72,315",Pan India
2024-04-08,AD001,UG Admission,Google Ads,17–21 Age,200034,14443,3338,1578,716,"? 1,89,342","? 54,11,519",Pan India
2024-04-09,AD001,UG Admission,Google Ads,17–21 Age,114098,4796,979,559,277,"? 95,245","? 15,00,707",Pan India
2024-04-10,AD001,UG Admission,Google Ads,17–21 Age,230730,8044,1273,591,285,"? 1,00,418","? 20,85,502",North India
2024-04-11,AD001,UG Admission,Google Ads,17–21 Age,221570,12355,2256,1301,521,"? 2,00,218","? 25,22,441",Pan India
2024-04-12,AD001,UG Admission,Google Ads,17–21 Age,241871,18824,3533,2181,917,"? 1,26,584","? 70,87,677",South India
2024-04-13,AD001,UG Admission,Google Ads,17–21 Age,288853,12032,2732,1717,785,"? 2,02,095","? 23,98,172",East India
2024-04-14,AD001,UG Admission,Google Ads,17–21 Age,213540,14462,3456,1678,696,"? 1,08,898","? 34,31,908",West India
2024-04-15,AD001,UG Admission,Google Ads,17–21 Age,72233,3762,590,318,184,"? 57,707","? 13,14,021",West India
2024-04-16,AD001,UG Admission,Google Ads,17–21 Age,167205,5074,1208,604,322,"? 1,15,667","? 23,87,204",West India
2024-04-17,AD001,UG Admission,Google Ads,17–21 Age,234584,15677,3010,1913,842,"? 1,90,235","? 40,25,667",West India
2024-04-18,AD001,UG Admission,Google Ads,17–21 Age,50267,3518,817,515,226,"? 39,782","? 8,93,338",West India
2024-04-19,AD001,UG Admission,Google Ads,17–21 Age,147737,9789,2427,1461,710,"? 1,15,882","? 49,99,995",South India
2024-04-20,AD001,UG Admission,Google Ads,17–21 Age,103945,5827,1089,686,290,"? 45,624","? 12,91,459",South India
2024-04-21,AD001,UG Admission,Google Ads,17–21 Age,180309,13125,2445,1328,595,"? 1,07,078","? 47,18,407",South India
2024-04-22,AD001,UG Admission,Google Ads,17–21 Age,165998,7203,1295,834,489,"? 1,55,076","? 38,04,207",South India
2024-04-23,AD001,UG Admission,Google Ads,17–21 Age,204547,9363,1756,1126,509,"? 1,50,706","? 22,19,931",Pan India
2024-04-24,AD001,UG Admission,Google Ads,17–21 Age,124784,7174,1288,783,351,"? 1,03,745","? 17,65,941",Pan India
2024-04-25,AD001,UG Admission,Google Ads,17–21 Age,132967,10361,1745,990,467,"? 65,513","? 18,32,026",Pan India
2024-04-26,AD001,UG Admission,Google Ads,17–21 Age,260506,13356,3163,1998,854,"? 2,56,268","? 46,86,284",West India
2024-04-27,AD001,UG Admission,Google Ads,17–21 Age,229208,9355,2081,1043,469,"? 1,78,259","? 26,74,524",Pan India
2024-04-28,AD001,UG Admission,Google Ads,17–21 Age,171241,7348,1294,719,302,"? 85,665","? 19,39,709",West India
2024-04-29,AD001,UG Admission,Google Ads,17–21 Age,161956,10797,1786,1036,542,"? 1,50,184","? 22,35,498",East India
2024-04-30,AD001,UG Admission,Google Ads,17–21 Age,61492,4436,909,457,244,"? 50,084","? 7,51,942",West India
2024-05-01,AD001,UG Admission,Google Ads,17–21 Age,203882,9925,2110,963,504,"? 1,81,727","? 32,79,196",South India
2024-05-02,AD001,UG Admission,Google Ads,17–21 Age,52572,2746,633,286,115,"? 31,495","? 7,21,472",West India
2024-05-03,AD001,UG Admission,Google Ads,17–21 Age,182398,9821,2358,1144,659,"? 1,17,139","? 41,42,036",Pan India
2024-05-04,AD001,UG Admission,Google Ads,17–21 Age,291292,19445,3115,1736,1028,"? 2,64,153","? 62,79,651",South India
2024-05-05,AD001,UG Admission,Google Ads,17–21 Age,209896,11020,2016,1282,676,"? 1,34,786","? 51,66,292",West India
2024-05-06,AD001,UG Admission,Google Ads,17–21 Age,212729,11086,2540,1442,785,"? 1,48,219","? 24,03,528",Pan India
2024-05-07,AD001,UG Admission,Google Ads,17–21 Age,53575,1779,383,198,83,"? 31,495","? 5,62,987",South India
2024-05-08,AD001,UG Admission,Google Ads,17–21 Age,77717,5458,1240,600,252,"? 39,734","? 13,74,433",North India
2024-05-09,AD001,UG Admission,Google Ads,17–21 Age,254812,8231,1789,905,508,"? 2,14,463","? 37,12,872",Pan India
2024-05-10,AD001,UG Admission,Google Ads,17–21 Age,159338,8621,1987,1010,560,"? 1,21,167","? 28,37,407",Pan India
2024-05-11,AD001,UG Admission,Google Ads,17–21 Age,107691,5395,912,434,235,"? 50,973","? 12,99,358",North India
2024-05-12,AD001,UG Admission,Google Ads,17–21 Age,150217,9087,1717,921,420,"? 84,200","? 22,18,830",North India
2024-05-13,AD001,UG Admission,Google Ads,17–21 Age,227093,11820,2504,1225,522,"? 1,92,460","? 23,62,548",North India
2024-05-14,AD001,UG Admission,Google Ads,17–21 Age,212823,12602,1904,1005,425,"? 1,07,267","? 19,12,335",West India
2024-05-15,AD001,UG Admission,Google Ads,17–21 Age,129087,4033,640,346,198,"? 1,01,206","? 15,81,964",West India
2024-05-16,AD001,UG Admission,Google Ads,17–21 Age,95904,4183,667,322,147,"? 66,126","? 7,51,735",North India
2024-05-17,AD001,UG Admission,Google Ads,17–21 Age,135876,8214,1729,909,441,"? 85,485","? 27,00,294",Pan India
2024-05-18,AD001,UG Admission,Google Ads,17–21 Age,280625,14687,2934,1372,655,"? 1,91,299","? 39,80,786",Pan India
2024-05-19,AD001,UG Admission,Google Ads,17–21 Age,99328,5165,1149,717,314,"? 59,407","? 12,18,840",Pan India
2024-05-20,AD001,UG Admission,Google Ads,17–21 Age,144094,11075,2057,1117,577,"? 1,18,501","? 31,78,344",North India
2024-05-21,AD001,UG Admission,Google Ads,17–21 Age,257103,13993,3038,1674,939,"? 1,51,754","? 57,15,057",South India
2024-05-22,AD001,UG Admission,Google Ads,17–21 Age,209828,14119,2701,1585,667,"? 1,64,162","? 37,49,676",North India
2024-05-23,AD001,UG Admission,Google Ads,17–21 Age,218859,11905,1854,941,482,"? 1,20,755","? 15,63,740",East India
2024-05-24,AD001,UG Admission,Google Ads,17–21 Age,210510,12742,2399,1408,810,"? 1,82,684","? 61,59,534",West India
2024-05-25,AD001,UG Admission,Google Ads,17–21 Age,112134,3488,542,286,159,"? 76,411","? 5,20,844",North India
2024-05-26,AD001,UG Admission,Google Ads,17–21 Age,167323,6870,1386,656,339,"? 1,54,890","? 26,89,432",West India
2024-05-27,AD001,UG Admission,Google Ads,17–21 Age,71573,3385,572,368,169,"? 37,172","? 13,00,603",South India
2024-05-28,AD001,UG Admission,Google Ads,17–21 Age,157823,9513,2121,1051,506,"? 1,09,850","? 36,68,864",South India
2024-05-29,AD001,UG Admission,Google Ads,17–21 Age,170857,13220,2821,1398,619,"? 96,132","? 45,51,262",North India
2024-05-30,AD001,UG Admission,Google Ads,17–21 Age,286098,8605,1496,757,307,"? 2,84,696","? 22,97,720",North India
2024-05-31,AD001,UG Admission,Google Ads,17–21 Age,179655,7512,1329,827,420,"? 1,77,941","? 27,74,452",South India
2024-06-01,AD001,UG Admission,Google Ads,17–21 Age,200920,10462,2244,1338,750,"? 1,42,412","? 42,42,470",West India
2024-06-02,AD001,UG Admission,Google Ads,17–21 Age,277733,19722,3356,1999,1087,"? 2,67,369","? 66,33,450",East India
2024-06-03,AD001,UG Admission,Google Ads,17–21 Age,163525,6314,1573,794,445,"? 1,61,244","? 28,92,185",East India
2024-06-04,AD001,UG Admission,Google Ads,17–21 Age,57200,2876,542,295,144,"? 40,656","? 11,31,480",North India
2024-06-05,AD001,UG Admission,Google Ads,17–21 Age,138496,6165,1152,534,238,"? 78,356","? 16,66,242",West India
2024-06-06,AD001,UG Admission,Google Ads,17–21 Age,173098,12987,2605,1205,678,"? 1,71,935","? 47,01,885",East India
2024-06-07,AD001,UG Admission,Google Ads,17–21 Age,132867,6166,1353,871,423,"? 1,10,776","? 18,86,619",North India
2024-06-08,AD001,UG Admission,Google Ads,17–21 Age,78405,5902,1106,584,309,"? 59,265","? 16,24,993",Pan India
2024-06-09,AD001,UG Admission,Google Ads,17–21 Age,123612,8089,1527,775,424,"? 1,13,946","? 31,46,851",Pan India
2024-06-10,AD001,UG Admission,Google Ads,17–21 Age,195933,8997,1665,915,447,"? 1,89,378","? 27,36,848",North India
2024-06-11,AD001,UG Admission,Google Ads,17–21 Age,107645,6490,1396,669,394,"? 64,452","? 21,50,211",South India
2024-06-12,AD001,UG Admission,Google Ads,17–21 Age,126990,3967,640,342,195,"? 78,557","? 8,17,560",South India
