Date,CampaignID,CampaignName,Platform,TargetAudience,Impressions,Clicks,Leads,Applications,Enrollments,Cost (?),Revenue (?),Region
2024-06-13,AD001,UG Admission,Google Ads,17–21 Age,173173,6384,1547,788,399,"? 1,27,532","? 26,83,478",East India
2024-06-14,AD001,UG Admission,Google Ads,17–21 Age,267033,20262,3713,2404,1299,"? 2,16,742","? 79,43,328",Pan India
2024-06-15,AD001,UG Admission,Google Ads,17–21 Age,132726,7918,1387,700,353,"? 57,062","? 19,16,053",East India
2024-06-16,AD001,UG Admission,Google Ads,17–21 Age,251270,9386,1500,689,349,"? 2,44,868","? 24,27,244",North India
2024-06-17,AD001,UG Admission,Google Ads,17–21 Age,207125,16396,3081,1427,767,"? 1,30,265","? 52,14,044",West India
2024-06-18,AD001,UG Admission,Google Ads,17–21 Age,224667,15878,3948,2098,1224,"? 1,95,774","? 43,43,633",East India
2024-06-19,AD001,UG Admission,Google Ads,17–21 Age,295874,20384,3505,2023,974,"? 1,95,141","? 55,00,365",East India
2024-06-20,AD001,UG Admission,Google Ads,17–21 Age,205409,7026,1119,706,423,"? 1,75,825","? 13,22,998",Pan India
2024-06-21,AD001,UG Admission,Google Ads,17–21 Age,189047,7231,1473,846,469,"? 1,49,311","? 26,55,171",North India
2024-06-22,AD001,UG Admission,Google Ads,17–21 Age,174907,8495,2121,1059,425,"? 1,34,701","? 25,90,999",North India
2024-06-23,AD001,UG Admission,Google Ads,17–21 Age,176167,10868,1936,1164,627,"? 1,21,892","? 47,51,275",East India
2024-06-24,AD001,UG Admission,Google Ads,17–21 Age,170905,8986,2123,1289,772,"? 77,321","? 35,46,992",Pan India
2024-06-25,AD001,UG Admission,Google Ads,17–21 Age,92195,6158,1102,514,217,"? 53,345","? 11,58,160",West India
2024-06-26,AD001,UG Admission,Google Ads,17–21 Age,144589,11439,2189,1146,674,"? 93,883","? 37,74,177",Pan India
2024-06-27,AD001,UG Admission,Google Ads,17–21 Age,218634,13467,2852,1603,838,"? 1,96,856","? 25,71,768",North India
2024-06-28,AD001,UG Admission,Google Ads,17–21 Age,224017,17218,3927,2217,1085,"? 1,45,416","? 71,54,155",North India
2024-06-29,AD001,UG Admission,Google Ads,17–21 Age,99562,5277,1146,694,296,"? 73,479","? 9,20,163",North India
2024-06-30,AD001,UG Admission,Google Ads,17–21 Age,247894,9939,2312,1356,632,"? 1,74,102","? 42,08,263",West India
2024-07-01,AD001,UG Admission,Google Ads,17–21 Age,189966,6959,1711,797,357,"? 1,28,422","? 25,24,973",South India
2024-07-02,AD001,UG Admission,Google Ads,17–21 Age,290368,17043,2956,1912,1082,"? 1,82,545","? 33,48,575",South India
2024-07-03,AD001,UG Admission,Google Ads,17–21 Age,98624,5398,1025,555,234,"? 58,644","? 16,05,698",East India
2024-07-04,AD001,UG Admission,Google Ads,17–21 Age,185544,8967,1881,974,497,"? 1,43,891","? 20,13,576",North India
2024-07-05,AD001,UG Admission,Google Ads,17–21 Age,64345,2893,673,399,231,"? 58,397","? 15,12,058",East India
2024-07-06,AD001,UG Admission,Google Ads,17–21 Age,260059,15459,2859,1616,748,"? 2,38,170","? 37,60,809",Pan India
2024-07-07,AD001,UG Admission,Google Ads,17–21 Age,272679,12573,2386,1298,669,"? 1,25,239","? 48,64,240",East India
2024-07-08,AD001,UG Admission,Google Ads,17–21 Age,248350,16741,2897,1713,861,"? 2,17,165","? 34,98,931",Pan India
2024-07-09,AD001,UG Admission,Google Ads,17–21 Age,177393,7806,1826,1016,471,"? 1,38,014","? 37,29,597",Pan India
2024-07-10,AD001,UG Admission,Google Ads,17–21 Age,151029,9303,1887,1057,498,"? 70,776","? 19,31,400",Pan India
2024-07-11,AD001,UG Admission,Google Ads,17–21 Age,53745,4296,787,354,145,"? 28,331","? 5,67,613",North India
2024-07-12,AD001,UG Admission,Google Ads,17–21 Age,81985,2676,589,334,155,"? 39,731","? 11,34,387",East India
2024-07-13,AD001,UG Admission,Google Ads,17–21 Age,101535,3234,704,418,167,"? 49,643","? 5,38,638",South India
2024-07-14,AD001,UG Admission,Google Ads,17–21 Age,56203,3399,526,282,124,"? 50,748","? 7,03,721",East India
2024-07-15,AD001,UG Admission,Google Ads,17–21 Age,172571,12649,2920,1512,709,"? 1,44,033","? 41,85,548",West India
2024-07-16,AD001,UG Admission,Google Ads,17–21 Age,206620,15320,3284,2077,936,"? 1,07,032","? 40,32,427",West India
2024-07-17,AD001,UG Admission,Google Ads,17–21 Age,238579,11277,1997,942,481,"? 2,00,473","? 19,96,665",West India
2024-07-18,AD001,UG Admission,Google Ads,17–21 Age,299596,13778,2469,1401,803,"? 1,33,225","? 43,64,605",Pan India
2024-07-19,AD001,UG Admission,Google Ads,17–21 Age,289584,9928,1754,852,495,"? 2,33,554","? 16,07,665",North India
2024-07-20,AD001,UG Admission,Google Ads,17–21 Age,272890,10309,2371,1461,865,"? 2,48,691","? 66,75,095",West India
2024-07-21,AD001,UG Admission,Google Ads,17–21 Age,285905,8585,1949,993,582,"? 2,54,212","? 32,18,556",West India
2024-07-22,AD001,UG Admission,Google Ads,17–21 Age,92579,6825,1236,768,372,"? 46,341","? 25,01,010",West India
2024-07-23,AD001,UG Admission,Google Ads,17–21 Age,262199,20171,3719,2289,1259,"? 1,08,833","? 88,59,616",North India
2024-07-24,AD001,UG Admission,Google Ads,17–21 Age,198212,6874,1415,799,462,"? 1,08,824","? 33,33,666",Pan India
2024-07-25,AD001,UG Admission,Google Ads,17–21 Age,118809,7312,1760,995,443,"? 1,00,652","? 29,96,388",West India
2024-07-26,AD001,UG Admission,Google Ads,17–21 Age,182889,5572,878,401,226,"? 93,158","? 15,25,793",North India
2024-07-27,AD001,UG Admission,Google Ads,17–21 Age,85016,3976,731,365,182,"? 39,558","? 13,58,546",South India
2024-07-28,AD001,UG Admission,Google Ads,17–21 Age,136206,8419,2017,1200,719,"? 66,697","? 39,14,237",West India
2024-07-29,AD001,UG Admission,Google Ads,17–21 Age,165347,11046,2068,1143,503,"? 1,43,383","? 19,91,696",South India
2024-07-30,AD001,UG Admission,Google Ads,17–21 Age,293930,12917,3074,1552,860,"? 1,35,738","? 49,57,160",West India
2024-07-31,AD001,UG Admission,Google Ads,17–21 Age,143598,9751,1930,965,442,"? 1,21,893","? 14,49,677",Pan India
2024-08-01,AD001,UG Admission,Google Ads,17–21 Age,54410,4309,693,357,191,"? 48,121","? 10,63,428",North India
2024-08-01,AD005,Semester Exchange Program,Instagram,22–27 Age,100600,4426,1006,578,315,"? 88,125","? 23,63,534",South India
2024-08-02,AD001,UG Admission,Google Ads,17–21 Age,132675,10342,1904,862,374,"? 1,13,476","? 19,26,664",North India
2024-08-02,AD005,Semester Exchange Program,Instagram,17–21 Age,120721,9109,1747,1023,521,"? 75,050","? 25,09,324",North India
2024-08-03,AD001,UG Admission,Google Ads,17–21 Age,200741,11692,2445,1190,664,"? 1,36,501","? 33,45,577",South India
2024-08-03,AD005,Semester Exchange Program,Instagram,17–21 Age,208142,16098,3655,2210,1252,"? 1,41,729","? 77,09,100",Pan India
2024-08-04,AD001,UG Admission,Google Ads,17–21 Age,62326,2288,416,208,97,"? 53,808","? 5,14,276",West India
2024-08-04,AD005,Semester Exchange Program,Instagram,22–27 Age,60178,3164,594,300,141,"? 36,780","? 6,38,056",East India
2024-08-05,AD001,UG Admission,Google Ads,17–21 Age,105561,6091,1210,657,361,"? 58,133","? 10,85,319",South India
2024-08-05,AD005,Semester Exchange Program,Instagram,17–21 Age,108128,4562,1033,586,260,"? 58,193","? 16,34,561",South India
2024-08-06,AD001,UG Admission,Google Ads,17–21 Age,96715,4883,1120,538,232,"? 43,537","? 18,13,997",East India
2024-08-06,AD005,Semester Exchange Program,Instagram,25–35 Age,99786,4538,843,475,270,"? 86,473","? 19,92,670",North India
2024-08-07,AD001,UG Admission,Google Ads,17–21 Age,297887,19916,3329,2125,936,"? 2,70,728","? 28,95,012",West India
2024-08-07,AD005,Semester Exchange Program,Instagram,17–21 Age,54376,2198,530,240,98,"? 48,889","? 4,04,235",Pan India
2024-08-08,AD001,UG Admission,Google Ads,17–21 Age,88036,3843,807,511,208,"? 69,666","? 12,70,694",Pan India
2024-08-08,AD005,Semester Exchange Program,Instagram,17–21 Age,276523,11747,1913,1099,451,"? 1,12,551","? 30,62,511",West India
2024-08-09,AD001,UG Admission,Google Ads,17–21 Age,61270,3608,771,487,203,"? 48,487","? 10,16,705",South India
2024-08-09,AD005,Semester Exchange Program,Instagram,25–35 Age,175935,8558,1832,1035,601,"? 1,63,463","? 28,73,827",East India
2024-08-10,AD001,UG Admission,Google Ads,17–21 Age,270202,19267,3864,1957,1169,"? 1,32,916","? 58,11,867",Pan India
2024-08-10,AD005,Semester Exchange Program,Instagram,17–21 Age,70308,4870,930,492,251,"? 51,723","? 12,62,104",South India
2024-08-11,AD001,UG Admission,Google Ads,17–21 Age,206790,15329,3569,2038,1076,"? 1,51,435","? 84,79,989",South India
2024-08-11,AD005,Semester Exchange Program,Instagram,25–35 Age,239465,10006,1533,767,445,"? 1,19,177","? 35,54,174",North India
2024-08-12,AD001,UG Admission,Google Ads,17–21 Age,143259,4765,1041,609,246,"? 1,03,534","? 19,50,084",Pan India
2024-08-12,AD005,Semester Exchange Program,Instagram,25–35 Age,60504,2239,539,322,184,"? 54,507","? 10,51,156",Pan India
2024-08-13,AD001,UG Admission,Google Ads,17–21 Age,203962,9650,2394,1402,591,"? 1,43,265","? 28,08,714",North India
2024-08-13,AD005,Semester Exchange Program,Instagram,17–21 Age,140195,9654,1913,1044,524,"? 78,718","? 32,67,340",West India
2024-08-14,AD001,UG Admission,Google Ads,17–21 Age,93684,5805,1305,670,372,"? 41,068","? 15,53,036",West India
2024-08-14,AD005,Semester Exchange Program,Instagram,25–35 Age,184290,10858,2176,991,427,"? 1,63,227","? 19,95,132",South India
2024-08-15,AD001,UG Admission,Google Ads,17–21 Age,246897,8565,2017,1112,614,"? 2,46,807","? 44,24,382",North India
2024-08-15,AD005,Semester Exchange Program,Instagram,17–21 Age,75772,2986,585,343,194,"? 50,359","? 15,10,027",North India
2024-08-16,AD001,UG Admission,Google Ads,17–21 Age,259857,18951,3776,2370,1066,"? 1,10,741","? 38,76,987",North India
2024-08-16,AD005,Semester Exchange Program,Instagram,25–35 Age,147185,8624,2052,1243,630,"? 1,02,580","? 34,46,318",West India
2024-08-17,AD001,UG Admission,Google Ads,17–21 Age,160425,11372,2306,1230,588,"? 1,33,747","? 28,31,001",North India
2024-08-17,AD005,Semester Exchange Program,Instagram,22–27 Age,196487,8699,1691,1051,613,"? 1,71,744","? 33,11,851",South India
2024-08-18,AD001,UG Admission,Google Ads,17–21 Age,136692,7477,1371,764,442,"? 1,20,425","? 20,71,544",West India
2024-08-18,AD005,Semester Exchange Program,Instagram,25–35 Age,254671,15131,3100,1454,638,"? 1,67,140","? 41,51,996",West India
2024-08-19,AD001,UG Admission,Google Ads,17–21 Age,167681,13225,2990,1842,894,"? 92,404","? 61,48,024",North India
2024-08-19,AD005,Semester Exchange Program,Instagram,17–21 Age,150411,8934,1854,1043,438,"? 83,953","? 33,29,055",East India
2024-08-20,AD001,UG Admission,Google Ads,17–21 Age,50916,2686,642,387,160,"? 34,435","? 7,74,445",North India
2024-08-20,AD005,Semester Exchange Program,Instagram,22–27 Age,266600,18274,4074,2224,907,"? 1,92,783","? 48,19,731",South India
2024-08-21,AD001,UG Admission,Google Ads,17–21 Age,246115,17238,2715,1569,816,"? 2,39,238","? 50,18,705",East India
2024-08-21,AD005,Semester Exchange Program,Instagram,17–21 Age,286047,14611,3332,1656,978,"? 1,95,180","? 53,42,189",North India
2024-08-22,AD001,UG Admission,Google Ads,17–21 Age,55434,3340,628,299,157,"? 47,689","? 5,67,663",Pan India
2024-08-22,AD005,Semester Exchange Program,Instagram,17–21 Age,138420,9190,1758,895,476,"? 1,21,776","? 37,96,436",South India
2024-08-23,AD001,UG Admission,Google Ads,17–21 Age,212121,8521,1831,1065,523,"? 2,10,423","? 18,16,349",South India
2024-08-23,AD005,Semester Exchange Program,Instagram,22–27 Age,174155,7729,1269,726,423,"? 1,14,530","? 17,55,445",South India
2024-08-24,AD001,UG Admission,Google Ads,17–21 Age,298055,23238,3774,2035,1015,"? 2,55,249","? 55,74,248",West India
2024-08-24,AD005,Semester Exchange Program,Instagram,17–21 Age,73433,3246,574,335,163,"? 43,645","? 10,29,954",Pan India
2024-08-25,AD001,UG Admission,Google Ads,17–21 Age,273318,12830,2725,1477,719,"? 2,49,801","? 33,60,100",West India
2024-08-25,AD005,Semester Exchange Program,Instagram,17–21 Age,190927,8324,1746,1040,502,"? 1,53,681","? 17,37,264",West India
2024-08-26,AD001,UG Admission,Google Ads,17–21 Age,280548,22400,3381,2001,1115,"? 2,43,364","? 75,80,436",Pan India
2024-08-26,AD005,Semester Exchange Program,Instagram,17–21 Age,285397,15333,2569,1619,881,"? 1,67,612","? 53,12,696",Pan India
2024-08-27,AD001,UG Admission,Google Ads,17–21 Age,230587,11780,2103,985,557,"? 1,70,545","? 21,72,106",North India
2024-08-27,AD005,Semester Exchange Program,Instagram,22–27 Age,239102,11777,2683,1443,793,"? 1,78,773","? 62,37,100",South India
2024-08-28,AD001,UG Admission,Google Ads,17–21 Age,122769,4992,1154,639,335,"? 76,198","? 18,03,614",East India
2024-08-28,AD005,Semester Exchange Program,Instagram,25–35 Age,118445,9312,1796,862,394,"? 53,889","? 12,48,957",Pan India
2024-08-29,AD001,UG Admission,Google Ads,17–21 Age,176924,6002,1405,726,305,"? 1,49,271","? 13,16,066",Pan India
2024-08-29,AD005,Semester Exchange Program,Instagram,17–21 Age,141835,4781,815,412,201,"? 71,163","? 11,95,977",East India
2024-08-30,AD001,UG Admission,Google Ads,17–21 Age,89353,3461,777,423,218,"? 68,408","? 14,04,431",East India
2024-08-30,AD005,Semester Exchange Program,Instagram,25–35 Age,172603,13771,3131,1756,957,"? 1,23,950","? 72,84,647",West India
2024-08-31,AD001,UG Admission,Google Ads,17–21 Age,275170,8309,2008,1217,654,"? 1,16,652","? 21,96,952",North India
2024-08-31,AD005,Semester Exchange Program,Instagram,25–35 Age,188007,12565,2831,1364,556,"? 1,00,933","? 20,63,936",North India
2024-09-01,AD005,Semester Exchange Program,Instagram,25–35 Age,277995,17323,3307,1962,807,"? 1,19,950","? 39,07,589",East India
2024-09-02,AD005,Semester Exchange Program,Instagram,17–21 Age,204641,14981,3396,1681,682,"? 1,55,414","? 53,73,759",Pan India
2024-09-03,AD005,Semester Exchange Program,Instagram,22–27 Age,80461,5310,1043,626,251,"? 56,362","? 9,88,492",East India
2024-09-04,AD005,Semester Exchange Program,Instagram,17–21 Age,225116,11836,2871,1828,993,"? 1,45,813","? 72,54,951",South India
2024-09-05,AD005,Semester Exchange Program,Instagram,17–21 Age,116737,9182,1836,1173,621,"? 99,176","? 25,37,615",South India
2024-09-06,AD005,Semester Exchange Program,Instagram,22–27 Age,63297,4534,954,479,279,"? 50,867","? 21,42,106",Pan India
2024-09-07,AD005,Semester Exchange Program,Instagram,22–27 Age,58123,2245,487,238,102,"? 48,038","? 8,06,658",West India
2024-09-08,AD005,Semester Exchange Program,Instagram,17–21 Age,245747,19560,3600,2070,927,"? 2,00,843","? 38,67,146",West India
2024-09-09,AD005,Semester Exchange Program,Instagram,17–21 Age,84497,2556,527,306,147,"? 40,401","? 5,17,444",East India
2024-09-10,AD005,Semester Exchange Program,Instagram,17–21 Age,241659,17679,2873,1586,722,"? 1,35,222","? 48,79,841",East India
2024-09-11,AD005,Semester Exchange Program,Instagram,22–27 Age,65507,2625,419,269,116,"? 58,811","? 8,12,926",West India
2024-09-12,AD005,Semester Exchange Program,Instagram,17–21 Age,89606,3064,523,302,174,"? 82,238","? 10,90,016",Pan India
2024-09-13,AD005,Semester Exchange Program,Instagram,25–35 Age,288944,22296,3936,2456,1336,"? 2,68,441","? 1,02,00,619",North India
2024-09-14,AD005,Semester Exchange Program,Instagram,25–35 Age,61065,3349,511,253,103,"? 50,675","? 6,18,471",East India
2024-09-15,AD005,Semester Exchange Program,Instagram,17–21 Age,52998,2691,556,360,169,"? 42,374","? 12,63,776",South India
2024-09-16,AD005,Semester Exchange Program,Instagram,17–21 Age,188733,6063,1486,848,495,"? 1,17,045","? 17,18,165",West India
2024-09-17,AD005,Semester Exchange Program,Instagram,22–27 Age,264523,8422,1397,690,285,"? 1,74,372","? 21,90,323",North India
2024-09-18,AD005,Semester Exchange Program,Instagram,17–21 Age,99863,5899,1473,894,463,"? 73,759","? 17,65,142",East India
2024-09-19,AD005,Semester Exchange Program,Instagram,25–35 Age,76229,4994,1189,748,448,"? 38,131","? 20,70,392",North India
2024-09-20,AD005,Semester Exchange Program,Instagram,17–21 Age,121757,6018,1136,664,374,"? 1,07,788","? 22,20,089",South India
2024-09-21,AD005,Semester Exchange Program,Instagram,25–35 Age,114298,4785,1131,713,345,"? 80,919","? 22,65,578",North India
2024-09-22,AD005,Semester Exchange Program,Instagram,17–21 Age,105308,7365,1272,726,432,"? 43,967","? 23,23,390",North India
2024-09-23,AD005,Semester Exchange Program,Instagram,22–27 Age,136857,9505,1522,788,362,"? 65,109","? 14,89,069",South India
2024-09-24,AD005,Semester Exchange Program,Instagram,17–21 Age,134230,8702,1365,650,332,"? 1,24,822","? 14,74,440",West India
2024-09-25,AD005,Semester Exchange Program,Instagram,22–27 Age,262940,21020,4963,2852,1664,"? 2,00,319","? 74,39,846",North India
2024-09-26,AD005,Semester Exchange Program,Instagram,25–35 Age,273481,17743,3097,1835,1000,"? 2,62,908","? 73,05,476",South India
2024-09-27,AD005,Semester Exchange Program,Instagram,17–21 Age,81135,4547,1123,543,325,"? 72,932","? 15,70,057",North India
2024-09-28,AD005,Semester Exchange Program,Instagram,22–27 Age,177065,8511,1962,1141,682,"? 1,26,930","? 46,13,730",West India
2024-09-29,AD005,Semester Exchange Program,Instagram,17–21 Age,120820,8446,1398,808,382,"? 96,604","? 19,11,054",South India
2024-09-30,AD005,Semester Exchange Program,Instagram,17–21 Age,108200,3265,588,270,146,"? 90,136","? 5,50,297",Pan India
2024-10-01,AD005,Semester Exchange Program,Instagram,25–35 Age,181393,7776,1216,691,308,"? 1,16,711","? 9,55,853",South India
2024-10-02,AD005,Semester Exchange Program,Instagram,25–35 Age,188107,11836,2751,1255,668,"? 83,985","? 36,44,884",North India
2024-10-03,AD005,Semester Exchange Program,Instagram,17–21 Age,136913,4144,997,508,257,"? 88,554","? 17,06,756",South India
2024-10-04,AD005,Semester Exchange Program,Instagram,25–35 Age,275383,21966,4741,2231,912,"? 2,39,729","? 39,26,372",Pan India
2024-10-05,AD005,Semester Exchange Program,Instagram,25–35 Age,287478,15296,2824,1485,658,"? 2,73,924","? 22,98,554",North India
2024-10-06,AD005,Semester Exchange Program,Instagram,25–35 Age,177706,6076,1461,913,494,"? 1,42,059","? 17,10,668",Pan India
2024-10-07,AD005,Semester Exchange Program,Instagram,25–35 Age,295188,8972,1635,877,449,"? 2,09,784","? 33,30,514",East India
2024-10-08,AD005,Semester Exchange Program,Instagram,25–35 Age,142451,6326,1430,782,396,"? 65,523","? 24,43,483",North India
2024-10-09,AD005,Semester Exchange Program,Instagram,22–27 Age,54463,3186,540,317,161,"? 38,379","? 8,65,327",East India
2024-10-10,AD005,Semester Exchange Program,Instagram,25–35 Age,139686,5412,1042,509,290,"? 75,836","? 16,54,751",East India
2024-10-11,AD005,Semester Exchange Program,Instagram,25–35 Age,120409,4489,780,484,246,"? 1,10,563","? 18,88,857",East India
2024-10-12,AD005,Semester Exchange Program,Instagram,17–21 Age,216016,10639,1987,1050,475,"? 1,39,364","? 18,26,452",South India
2024-10-13,AD005,Semester Exchange Program,Instagram,17–21 Age,58912,4326,782,498,295,"? 48,217","? 12,14,181",South India
2024-10-14,AD005,Semester Exchange Program,Instagram,22–27 Age,202717,6817,1069,693,358,"? 1,16,989","? 15,22,258",West India
2024-10-15,AD005,Semester Exchange Program,Instagram,22–27 Age,251656,18834,3343,1918,1080,"? 2,41,798","? 70,37,867",South India
2024-10-16,AD005,Semester Exchange Program,Instagram,17–21 Age,199622,6041,993,525,228,"? 1,76,722","? 9,88,512",South India
2024-10-17,AD005,Semester Exchange Program,Instagram,25–35 Age,69381,3391,607,363,166,"? 49,757","? 5,78,095",Pan India
2024-10-18,AD005,Semester Exchange Program,Instagram,17–21 Age,287101,12759,2552,1493,878,"? 2,08,157","? 42,02,663",North India
2024-10-19,AD005,Semester Exchange Program,Instagram,17–21 Age,184878,12850,2357,1514,788,"? 1,19,294","? 46,20,821",East India
2024-10-20,AD005,Semester Exchange Program,Instagram,22–27 Age,92994,4254,1025,663,325,"? 63,510","? 19,79,291",West India
2024-10-21,AD005,Semester Exchange Program,Instagram,25–35 Age,122794,7849,1907,1022,609,"? 1,15,045","? 21,46,534",East India
2024-10-22,AD005,Semester Exchange Program,Instagram,17–21 Age,91570,6739,1285,721,353,"? 79,415","? 20,03,387",West India
2024-10-23,AD005,Semester Exchange Program,Instagram,25–35 Age,136044,5700,1277,576,315,"? 81,290","? 12,60,960",West India
2024-10-24,AD005,Semester Exchange Program,Instagram,22–27 Age,167984,5400,1206,563,278,"? 99,049","? 13,66,324",East India
2024-10-25,AD005,Semester Exchange Program,Instagram,22–27 Age,95036,5272,948,435,238,"? 52,510","? 15,52,232",North India
2024-10-26,AD005,Semester Exchange Program,Instagram,25–35 Age,59294,3218,771,376,216,"? 51,408","? 8,27,193",West India
2024-10-27,AD005,Semester Exchange Program,Instagram,22–27 Age,130677,9462,1831,969,562,"? 89,432","? 24,87,761",North India
2024-10-28,AD005,Semester Exchange Program,Instagram,22–27 Age,97058,3274,651,375,190,"? 45,063","? 8,95,882",Pan India
2024-10-29,AD005,Semester Exchange Program,Instagram,17–21 Age,179478,6773,1044,667,270,"? 91,661","? 20,80,724",North India
2024-10-30,AD005,Semester Exchange Program,Instagram,25–35 Age,281673,15379,3271,1753,1035,"? 2,04,310","? 34,59,762",South India
2024-10-31,AD005,Semester Exchange Program,Instagram,25–35 Age,116450,6235,1558,824,360,"? 65,629","? 19,49,669",South India
2024-11-01,AD005,Semester Exchange Program,Instagram,17–21 Age,225961,14171,3221,1819,993,"? 1,68,278","? 32,22,208",North India
2024-11-02,AD005,Semester Exchange Program,Instagram,25–35 Age,106756,7681,1748,926,405,"? 72,448","? 19,50,812",Pan India
2024-11-03,AD005,Semester Exchange Program,Instagram,17–21 Age,232832,9147,1633,749,397,"? 1,93,724","? 30,07,991",South India
2024-11-04,AD005,Semester Exchange Program,Instagram,22–27 Age,283483,9399,2257,1289,646,"? 1,52,209","? 26,06,458",Pan India
2024-11-05,AD005,Semester Exchange Program,Instagram,25–35 Age,239123,8684,1946,1221,722,"? 2,04,002","? 27,14,132",North India
2024-11-06,AD005,Semester Exchange Program,Instagram,25–35 Age,276380,16064,2534,1232,551,"? 1,70,391","? 30,92,024",East India
2024-11-07,AD005,Semester Exchange Program,Instagram,17–21 Age,270180,14454,3258,1917,990,"? 2,68,873","? 64,43,869",West India
2024-11-08,AD005,Semester Exchange Program,Instagram,17–21 Age,286662,11043,1712,779,318,"? 1,31,185","? 13,92,508",East India
2024-11-09,AD005,Semester Exchange Program,Instagram,22–27 Age,181568,10036,2164,1043,557,"? 1,05,289","? 29,43,847",Pan India
